method,label,centrality
https://uxmethods.org/method/UsabilityTesting,Usability Testing,9
https://uxmethods.org/method/DomainModeling,Domain Modeling,7
https://uxmethods.org/method/TaxonomyDesign,Taxonomy Design,7
https://uxmethods.org/method/Wireframing,Wireframing,7
https://uxmethods.org/method/AccessibilityEvaluation,Accessibility Evaluation,6
https://uxmethods.org/method/JourneyMapping,Journey Mapping,6
https://uxmethods.org/method/Prototyping,Prototyping,6
https://uxmethods.org/method/CardSorting,Card Sorting,5
https://uxmethods.org/method/CategoryDesign,Category Design,5
https://uxmethods.org/method/FirstClickTesting,First Click Testing,5
https://uxmethods.org/method/Storyboarding,Storyboarding,5
https://uxmethods.org/method/UserInterviewing,User Interviewing,5
https://uxmethods.org/method/A-BTesting,A-B Testing,4
https://uxmethods.org/method/ContentAuditing,Content Auditing,4
https://uxmethods.org/method/ContextualInterviewing,Contextual Interviewing,4
https://uxmethods.org/method/NavigationDesign,Navigation Design,4
https://uxmethods.org/method/Scenarios,Scenarios,4
https://uxmethods.org/method/StakeholderInterviewing,Stakeholder Interviewing,4
https://uxmethods.org/method/TaskAnalysis,Task Analysis,4
https://uxmethods.org/method/HeuristicEvaluation,Heuristic Evaluation,3
https://uxmethods.org/method/PersonaCreation,Persona Creation,3
https://uxmethods.org/method/StyleTileCreation,Style Tile Creation,3
https://uxmethods.org/method/UseCases,Use Cases,3
https://uxmethods.org/method/CompetitiveAnalysis,Competitive Analysis,2
